"season","game_id","game_date","goalie_id","goalie_name","save","angle","distance","home","game_score_state","rebound","strength","shot_type","round","recent_save_30","recent_save_60","recent_save_90","recent_save_120","recent_save_150","long_run_save_840","xprime_30","xprime_60","xprime_90","xprime_120","xprime_150"
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,76.4,29.8,1,"Leading",0,"0","Wrist Shot",0,0.9,0.933333333333333,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,-0.0142857142857142,0.0190476190476191,-0.00317460317460316,0.0190476190476191,0.0190476190476191
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,53.1,5,0,"Tied",0,"0","Wrap-around",0,0.9,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,-0.0142857142857142,0.0357142857142857,-0.00317460317460316,0.0190476190476191,0.0190476190476191
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,23.2,7.6,0,"Tied",0,"0","Wrist Shot",0,0.9,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,-0.0142857142857142,0.0357142857142857,-0.00317460317460316,0.0190476190476191,0.0190476190476191
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,26.6,11.2,0,"Tied",0,"0","Tip-In",0,0.9,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,-0.0142857142857142,0.0357142857142857,-0.00317460317460316,0.0190476190476191,0.0190476190476191
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,11.4,157.1,0,"Tied",0,"0","Wrist Shot",0,0.933333333333333,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,0.0190476190476191,0.0357142857142857,-0.00317460317460316,0.0190476190476191,0.0190476190476191
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,6.5,44.3,0,"Tied",0,"0","Wrist Shot",0,0.933333333333333,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,0.0190476190476191,0.0357142857142857,-0.00317460317460316,0.0190476190476191,0.0190476190476191
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,27.4,63.1,0,"Tied",0,"0","Slap Shot",0,0.933333333333333,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,0.0190476190476191,0.0357142857142857,-0.00317460317460316,0.0190476190476191,0.0190476190476191
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,14.6,51.7,0,"Tied",0,"0","Wrist Shot",0,0.933333333333333,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,0.0190476190476191,0.0357142857142857,-0.00317460317460316,0.0190476190476191,0.0190476190476191
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,36.3,18.6,0,"Tied",0,"0","Wrist Shot",0,0.933333333333333,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.91547619047619,0.0178571428571429,0.0345238095238095,-0.00436507936507935,0.0178571428571429,0.0178571428571429
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,36.9,15,0,"Tied",0,"0","Snap Shot",0,0.933333333333333,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.91547619047619,0.0178571428571429,0.0345238095238095,-0.00436507936507935,0.0178571428571429,0.0178571428571429
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",0,11.3,10.2,0,"Trailing",0,"0","Wrist Shot",0,0.933333333333333,0.95,0.911111111111111,0.933333333333333,0.933333333333333,0.91547619047619,0.0178571428571429,0.0345238095238095,-0.00436507936507935,0.0178571428571429,0.0178571428571429
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",0,23,35.8,0,"Trailing",0,"0","Wrist Shot",0,0.9,0.933333333333333,0.9,0.925,0.926666666666667,0.914285714285714,-0.0142857142857142,0.0190476190476191,-0.0142857142857142,0.0107142857142858,0.0123809523809524
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",0,45,24,0,"Trailing",0,"0","Wrist Shot",0,0.866666666666667,0.916666666666667,0.888888888888889,0.916666666666667,0.92,0.913095238095238,-0.0464285714285714,0.00357142857142856,-0.0242063492063492,0.00357142857142856,0.00690476190476197
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",0,37.1,46.4,0,"Trailing",0,"0","Wrist Shot",0,0.833333333333333,0.9,0.877777777777778,0.908333333333333,0.913333333333333,0.911904761904762,-0.0785714285714285,-0.0119047619047619,-0.0341269841269841,-0.00357142857142856,0.00142857142857145
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,26,47.9,0,"Trailing",0,"0","Slap Shot",0,0.833333333333333,0.883333333333333,0.877777777777778,0.9,0.906666666666667,0.910714285714286,-0.0773809523809523,-0.0273809523809524,-0.0329365079365079,-0.0107142857142857,-0.00404761904761908
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,43.2,21.9,0,"Trailing",0,"0","Wrist Shot",0,0.833333333333333,0.883333333333333,0.877777777777778,0.9,0.906666666666667,0.910714285714286,-0.0773809523809523,-0.0273809523809524,-0.0329365079365079,-0.0107142857142857,-0.00404761904761908
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",1,47.3,53.1,0,"Trailing",0,"0","Wrist Shot",0,0.833333333333333,0.883333333333333,0.877777777777778,0.9,0.906666666666667,0.910714285714286,-0.0773809523809523,-0.0273809523809524,-0.0329365079365079,-0.0107142857142857,-0.00404761904761908
"20222023","2022030233",2023-05-07,"8479979","Jake.Oettinger",0,4.4,13,0,"Trailing",0,"0","Wrist Shot",0,0.833333333333333,0.883333333333333,0.877777777777778,0.9,0.906666666666667,0.910714285714286,-0.0773809523809523,-0.0273809523809524,-0.0329365079365079,-0.0107142857142857,-0.00404761904761908
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,3.7,46.1,0,"Tied",0,"0","Slap Shot",0,0.8,0.866666666666667,0.866666666666667,0.891666666666667,0.9,0.90952380952381,-0.109523809523809,-0.0428571428571428,-0.0428571428571428,-0.0178571428571428,-0.00952380952380949
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,8.1,56.6,0,"Tied",0,"0","Wrist Shot",0,0.8,0.866666666666667,0.866666666666667,0.891666666666667,0.9,0.90952380952381,-0.109523809523809,-0.0428571428571428,-0.0428571428571428,-0.0178571428571428,-0.00952380952380949
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,50.2,39.1,0,"Tied",0,"0","Slap Shot",0,0.8,0.866666666666667,0.866666666666667,0.891666666666667,0.9,0.90952380952381,-0.109523809523809,-0.0428571428571428,-0.0428571428571428,-0.0178571428571428,-0.00952380952380949
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,81.9,21.2,0,"Tied",0,"0","Wrist Shot",0,0.8,0.866666666666667,0.866666666666667,0.891666666666667,0.906666666666667,0.90952380952381,-0.109523809523809,-0.0428571428571428,-0.0428571428571428,-0.0178571428571428,-0.00285714285714289
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,18.4,6.3,0,"Leading",0,"0","Tip-In",0,0.8,0.866666666666667,0.866666666666667,0.891666666666667,0.906666666666667,0.90952380952381,-0.109523809523809,-0.0428571428571428,-0.0428571428571428,-0.0178571428571428,-0.00285714285714289
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,56,48.3,0,"Leading",0,"0","Slap Shot",0,0.8,0.866666666666667,0.866666666666667,0.891666666666667,0.906666666666667,0.90952380952381,-0.109523809523809,-0.0428571428571428,-0.0428571428571428,-0.0178571428571428,-0.00285714285714289
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,16.9,24,0,"Leading",0,"0","Wrist Shot",0,0.8,0.866666666666667,0.866666666666667,0.891666666666667,0.906666666666667,0.90952380952381,-0.109523809523809,-0.0428571428571428,-0.0428571428571428,-0.0178571428571428,-0.00285714285714289
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,11.3,40.8,0,"Leading",0,"0","Wrist Shot",0,0.8,0.866666666666667,0.866666666666667,0.891666666666667,0.906666666666667,0.90952380952381,-0.109523809523809,-0.0428571428571428,-0.0428571428571428,-0.0178571428571428,-0.00285714285714289
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",0,29.7,8.1,0,"Leading",0,"0","Wrist Shot",0,0.8,0.866666666666667,0.866666666666667,0.891666666666667,0.906666666666667,0.90952380952381,-0.109523809523809,-0.0428571428571428,-0.0428571428571428,-0.0178571428571428,-0.00285714285714289
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,17.8,58.8,0,"Leading",0,"0","Wrist Shot",0,0.8,0.85,0.855555555555556,0.883333333333333,0.9,0.908333333333333,-0.108333333333333,-0.0583333333333333,-0.0527777777777778,-0.025,-0.0083333333333333
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,60.3,8.1,0,"Leading",0,"0","Tip-In",0,0.8,0.85,0.866666666666667,0.883333333333333,0.906666666666667,0.908333333333333,-0.108333333333333,-0.0583333333333333,-0.0416666666666666,-0.025,-0.00166666666666671
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",0,6.6,26.2,0,"Leading",0,"0","Snap Shot",0,0.8,0.85,0.877777777777778,0.883333333333333,0.906666666666667,0.908333333333333,-0.108333333333333,-0.0583333333333333,-0.0305555555555556,-0.025,-0.00166666666666671
